,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0
0,13500,,,4178.1906,208.2137,251.5915,227.1035,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
1,13750,,,3949.0596,225.5648,268.9427,246.1216,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
2,14000,,,3722.8877,251.5915,294.9694,268.0989,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
3,14250,,,3502.4003,277.6182,320.9961,295.7604,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
4,14500,,,3284.5987,303.645,355.6984,326.1081,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
5,14750,,,3072.3065,338.3472,390.4007,361.9649,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
6,15000,,,2863.73,381.7251,433.7785,401.5377,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
7,15250,,,2660.3396,425.1029,477.1564,446.2963,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
8,15500,,,2464.4872,477.1564,529.2098,498.593,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
9,15750,,,2274.824,529.2098,581.2632,557.079,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
10,16000,1500.8736,2567.9687,2093.3377,598.6143,650.6678,623.7417,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
11,16250,1873.9231,2030.0834,1921.6127,676.6945,728.7479,700.1659,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
12,16500,1717.7629,1865.2476,1758.4277,763.4502,815.5036,785.1299,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
13,16750,1570.2782,1700.4117,1607.1025,850.2059,910.9349,881.9539,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
14,17000,1440.1446,1544.2515,1465.3425,954.3127,1015.0417,988.343,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
15,17250,1310.0111,1396.7668,1336.7631,1084.4463,1145.1752,1107.9128,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
16,17500,1188.5531,1275.3088,1215.6079,1197.2287,1275.3088,1234.9067,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
17,17750,1075.7707,1162.5264,1116.1086,,,1383.5567,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
18,18000,971.6638,1049.744,1013.5991,,,1529.1962,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
19,18250,876.2326,954.3127,918.5261,,,1682.2723,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
20,18500,798.1524,867.557,832.3911,,,1844.2863,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
21,18750,728.7479,789.4769,758.1459,,,2018.1904,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
22,19000,668.0189,720.0723,692.7961,,,2200.9899,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
23,19250,615.9655,659.3433,633.9527,,,2390.2955,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
24,19500,563.9121,607.2899,582.2283,,,2586.7201,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
25,19750,520.5342,555.2365,536.3059,,,2788.9469,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
26,20000,477.1564,520.5342,494.1605,,,2994.9506,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
27,20250,442.4541,477.1564,457.9533,,,3206.8925,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
28,20500,407.7518,451.1296,425.5745,,,3422.663,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
29,20750,373.0495,425.1029,398.1521,,,3643.3896,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
30,21000,347.0228,399.0762,372.5559,,,3865.9424,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
31,21250,320.9961,373.0495,347.5123,,,4089.0479,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14
32,21500,294.9694,355.6984,325.0726,,,4314.7574,2020-12-18 08:00:00,2020-11-26 11:37:28.944Z,0,0,17351.14

