,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0
0,15500,,,1900.1305,60.6108,86.5868,72.9283,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
1,15750,,,1665.9006,77.9281,103.9042,88.5395,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
2,15875,,,1551.4057,86.5868,112.5628,98.9652,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
3,16000,,,1436.3609,95.2455,121.2215,108.841,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
4,16125,,,1324.4106,112.5628,138.5389,121.8113,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
5,16250,,,1215.3315,129.8802,155.8562,137.6529,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
6,16375,,,1105.0502,138.5389,173.1736,152.2923,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
7,16500,917.8201,1099.6524,998.9438,155.8562,190.491,171.1064,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
8,16625,822.5746,987.0895,897.632,181.8323,216.467,194.7154,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
9,16750,727.3291,883.1854,800.0288,207.8083,242.443,222.0326,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
10,16875,640.7423,787.9399,706.7305,233.7844,268.4191,253.655,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
11,17000,562.8142,692.6944,619.1432,268.4191,311.7125,290.9884,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
12,17125,484.8861,597.4489,538.9592,303.0538,355.0059,335.7249,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
13,17250,441.5927,502.2034,469.0734,355.0059,406.958,390.7598,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
14,17375,380.9819,432.934,403.3788,406.958,476.2274,449.9859,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
15,17500,320.3712,363.6646,343.205,,,514.7325,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
16,17625,268.4191,303.0538,293.1704,,,589.6187,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
17,17750,233.7844,259.7604,248.6676,,,670.0365,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
18,17875,190.491,216.467,209.3416,,,755.6312,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
19,18000,155.8562,181.8323,174.9725,,,846.1827,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
20,18125,129.8802,155.8562,145.5974,,,941.7283,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
21,18250,112.5628,138.5389,122.8381,,,1043.8896,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
22,18375,95.2455,112.5628,102.418,,,1148.3902,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
23,18500,77.9281,95.2455,85.4064,,,1256.2991,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
24,18625,69.2694,86.5868,70.354,,,1366.1674,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
25,18750,60.6108,69.2694,70.0756,,,1490.8096,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36
26,19000,43.2934,60.6108,49.5846,,,1720.1599,2020-11-28 08:00:00,2020-11-26 11:36:31.802Z,0,0,17317.36

