,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,13500,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
1,13750,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
2,14000,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
3,14250,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
4,14500,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
5,14750,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
6,15000,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
7,15250,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
8,15500,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
9,15750,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
10,16000,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
11,16250,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
12,16500,,,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
13,16750,,2644.9523,,9.6885,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
14,17000,,,,9.6885,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
15,17250,,,,9.6885,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
16,17500,1889.2517,1918.3171,,19.3769,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
17,17750,1637.3514,1685.7938,,29.0654,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
18,18000,,,19.3769,38.7539,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
19,18250,,,29.0654,58.1308,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
20,18500,939.7816,1007.6009,58.1308,87.1962,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
21,18750,726.6352,813.8315,106.5732,135.6386,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
22,19000,542.5543,629.7506,184.0809,213.1463,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
23,19250,416.6042,474.735,280.9656,329.408,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
24,19500,300.3426,348.7849,406.9157,455.3581,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
25,19750,213.1463,261.5887,542.5543,649.1275,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
26,20000,155.0155,184.0809,736.3237,804.143,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
27,20250,106.5732,135.6386,949.4701,1036.6663,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
28,20500,77.5078,106.5732,1181.9933,1249.8126,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
29,20750,58.1308,87.1962,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
30,21000,58.1308,77.5078,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
31,21250,58.1308,77.5078,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
32,21500,48.4424,77.5078,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
33,22000,48.4424,67.8193,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit
34,22500,48.4424,67.8193,,,2020-12-18 08:00:00,2020-12-16 04:49:47,0,0,19376.94,bit

