,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,13250,,,6142.4425,,19.3806,,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
1,13500,,,5892.6663,,9.6903,0.0002,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
2,13750,,,5642.8906,,9.6903,0.0006,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
3,14000,,,5393.1156,,9.6903,0.0017,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
4,14250,,,5143.3431,,9.6903,0.0054,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
5,14500,,,4893.5769,,9.6903,0.0153,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
6,14750,,,4643.8257,,9.6903,0.0405,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
7,15000,,,4394.1089,,9.6903,0.0998,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
8,15250,,,4144.4634,,9.6903,0.2304,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
9,15500,,,3894.9531,,19.3806,0.4965,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
10,15750,,,3645.6675,,9.6903,0.9869,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
11,16000,3294.6986,3604.7879,3396.699,,9.6903,1.7946,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
12,16250,2781.1132,3440.053,3148.1384,,19.3806,3.0102,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
13,16500,2529.1657,3188.1054,2900.2193,,9.6903,4.8672,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
14,16750,2267.5279,2945.8482,2653.6663,,19.3806,8.0904,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
15,17000,2015.5803,2703.5909,2409.5247,9.6903,19.3806,13.7251,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
16,17250,1753.9425,2461.3337,2160.0319,9.6903,19.3806,14.0083,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
17,17500,1521.3755,2083.4124,1920.2817,19.3806,29.0709,24.0344,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
18,17750,1569.827,1889.6066,1675.1461,19.3806,38.7612,28.6749,2020-12-18 08:00:00,2020-12-16 04:50:40.227Z,0,0,19380.58,deribit
19,18000,1308.1892,1627.9687,1434.4034,29.0709,48.4515,37.7084,2020-12-18 08:00:00,2020-12-16 04:50:40.228Z,0,0,19380.58,deribit
20,18250,1056.2416,1637.659,1197.3284,38.7612,58.1417,50.4097,2020-12-18 08:00:00,2020-12-16 04:50:40.228Z,0,0,19380.58,deribit
21,18500,813.9844,1618.2784,974.5777,58.1417,77.5223,77.2721,2020-12-18 08:00:00,2020-12-16 04:50:40.228Z,0,0,19380.58,deribit
22,18750,610.4883,1308.1892,773.0346,87.2126,116.2835,125.6681,2020-12-18 08:00:00,2020-12-16 04:50:40.228Z,0,0,19380.58,deribit
