,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,15250,4079.9405,4234.9976,,19.3821,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
1,15750,3556.6227,3721.3709,,19.3821,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
2,16250,3072.0692,3236.8174,,19.3821,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
3,16750,2568.1336,2752.2639,9.6911,29.0732,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
4,17000,NaN,NaN,9.6911,29.0732,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
5,17250,2083.5801,2258.0193,9.6911,38.7643,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
6,17500,1831.6122,2006.0515,19.3821,38.7643,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
7,17750,1589.3355,1763.7747,29.0732,48.4554,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
8,18000,1356.7498,1521.498,38.7643,58.1464,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
9,18250,1162.9284,1240.457,NaN,NaN,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
10,18500,930.3427,1007.8713,67.8375,96.9107,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
11,18750,726.8303,794.6677,106.6018,135.675,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
12,19000,552.391,591.1553,164.7482,193.8214,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
13,19250,407.0249,436.0982,261.6589,290.7321,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
14,19500,300.4232,319.8053,397.3339,426.4071,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
15,19750,222.8946,242.2768,552.391,610.5374,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
16,20000,164.7482,193.8214,736.5213,814.0499,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
17,20250,125.9839,155.0571,959.4159,1027.2534,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
18,20500,96.9107,125.9839,1182.3105,1259.8391,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
19,20750,77.5286,106.6018,1405.2051,1492.4248,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
20,21000,,,,,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
21,21250,48.4554,67.8375,1812.2301,2006.0515,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
22,21500,,,,,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
23,21750,29.0732,48.4554,2287.0925,2480.9139,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex
24,22250,9.6911,29.0732,2761.955,2975.1585,2020-12-18 08:00:00,2020-12-16 04:51:07,0,0,19382.14,okex

