,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,10000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
1,11000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
2,12000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
3,13000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
4,14000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
5,15000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
6,16000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
7,17000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
8,18000,1468.6309,1641.411,163.1812,355.1591,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
9,18500,1094.274,1305.4497,297.5657,518.3403,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
10,19000,767.9116,998.2851,479.9448,719.9171,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
11,19500,527.9392,767.9116,729.516,969.4884,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
12,20000,374.3569,604.7304,1065.4773,1315.0486,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
13,20500,259.1702,479.9448,1478.2298,1670.2077,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
14,21000,211.1757,383.9558,1890.9823,2082.9602,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
15,21500,172.7801,326.3624,2332.5315,2505.3116,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
16,22000,143.9834,297.5657,2841.2729,2975.6575,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
17,23000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
18,24000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
19,26000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
20,28000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
21,3000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
22,32000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
23,36000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
24,4000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
25,5000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
26,6000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
27,7000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
28,8000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit
29,9000,,,,,2020-12-25 08:00:00,2020-12-15 07:49:26,0,0,19197.79,bit

