,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,13500,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
1,13750,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
2,14000,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
3,14250,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
4,14500,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
5,14750,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
6,15000,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
7,15250,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
8,15500,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
9,15750,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
10,16000,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
11,16250,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
12,16500,,,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
13,16750,,2634.0167,,9.6839,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
14,17000,,,,9.6839,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
15,17250,,,,9.6839,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
16,17500,1878.6737,1917.4092,,19.3678,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
17,17750,1636.5766,1684.996,,29.0517,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
18,18000,,,19.3678,38.7355,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
19,18250,,,38.7355,58.1033,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
20,18500,929.653,997.4402,67.7872,96.8389,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
21,18750,706.9236,813.4463,116.2066,135.5744,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
22,19000,532.6137,629.4525,183.9938,222.7294,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
23,19250,416.4071,464.8265,280.8327,329.2521,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
24,19500,300.2004,348.6199,416.4071,464.8265,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
25,19750,213.0455,261.4649,551.9814,658.5042,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
26,20000,145.2583,183.9938,745.6591,813.4463,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
27,20250,106.5227,135.5744,958.7046,1045.8596,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
28,20500,77.4711,106.5227,1191.1179,1258.9051,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
29,20750,58.1033,87.155,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
30,21000,58.1033,77.4711,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
31,21250,58.1033,77.4711,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
32,21500,48.4194,77.4711,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
33,22000,48.4194,67.7872,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit
34,22500,48.4194,67.7872,,,2020-12-18 08:00:00,2020-12-16 04:25:47,0,0,19367.77,bit

