,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,15250,4056.1936,4211.0841,,19.3613,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
1,15750,3533.4383,3698.0094,,19.3613,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
2,16250,3030.0444,3213.9768,,19.3613,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
3,16750,2536.3311,2720.2635,,19.3613,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
4,17000,2294.3148,2478.2472,,29.042,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
5,17250,2052.2984,2226.5502,9.6807,29.042,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
6,17500,1810.2821,1984.5339,9.6807,38.7226,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
7,17750,1568.2658,1732.8369,29.042,48.4033,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
8,18000,1326.2495,1490.8206,38.7226,58.0839,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
9,18250,1132.6364,1210.0816,48.4033,67.7646,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
10,18500,909.9814,977.746,67.7646,87.1259,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
11,18750,697.007,764.7716,96.8065,125.8485,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
12,19000,522.7553,561.4779,164.5711,193.6131,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
13,19250,387.2261,416.2681,261.3776,290.4196,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
14,19500,280.7389,300.1002,406.5874,435.6294,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
15,19750,203.2937,232.3357,571.1585,629.2424,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
16,20000,154.8904,183.9324,764.7716,832.5362,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
17,20250,116.1678,145.2098,977.746,1055.1912,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
18,20500,96.8065,125.8485,1200.401,1287.5268,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
19,20750,77.4452,96.8065,1432.7366,1519.8625,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
20,21250,38.7226,67.7646,1849.0047,2032.9371,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
21,21750,19.3613,48.4033,2313.6761,2516.9698,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex
22,22250,9.6807,29.042,2797.7087,3010.6831,2020-12-18 08:00:00,2020-12-16 04:30:01,0,0,19361.306,okex

